phone,State,Factoryp,supplierp,Type of cement,Type of factory,Amount,Total price,,Time,code,date
Sena,Transaction Number,factory,,ppc,ABYSSINIA,233,279600,,"27-8-2023,9:11:12",MWKBHBFFXA,
Abdi,Transaction Number,supplier,BAHIRDAR,opc,DERBA MWDROC,555,55500,,"27-8-2023,9:17:45",QCK0UE4E5S,
4,Transaction Number,factory,,ppc,MUGHER,111,111000,,"27-8-2023,9:37:37",XZRJLAEVZX,
4,Transaction Number,factory,,ppc,MUGHER,111,111000,,"28-8-2023,23:52:58",XGRCBQZGQF,
4,Transaction Number,factory,,opc,MUGHER,111,11100,,"28-8-2023,23:53:32",GE8DNRY9YW,
4,Transaction Number,factory,,ppc,MUGHER,111,111000,,"31-8-2023,4:9:17",NWUL5TUBOO,
4,Transaction Number,factory,,ppc,DANGOTE,102,122400,,"31-8-2023,4:11:32",3PWSROP3JH,
4,Type of factory,factory,,opc,MUGHER,,,,,,
920304539,Transaction Number,factory,,ppc,MUGHER,111,111000,,17:33:55,OQPXCKCAQM,12/9/2023
920304539,Transaction Number,supplier,ADDIS ABABA,ppc,MUGHER,111,19980,,"2-9-2023,9:31:58",WOUT8JHDWR,
9920304539,Place,factory,,,,,,,,4F8XYAR2UE,
20304539,Transaction Number,factory,,ppc,MUGHER,111,111000,,"2-9-2023,9:41:30",UK61PJPBZ9,
20304539,Transaction Number,factory,,ppc,MUGHER,111,111000,,"2-9-2023,9:50:26",H4ER7DFJDL,
20304539,Transaction Number,factory,,opc,DANGOTE,122,14640,,"4-9-2023,6:11:27",N2VRNBLEBH,
20304539,Transaction Number,supplier,BISHOFTU,opc,DANGOTE,111,14430,,"4-9-2023,6:12:1",DFLB8JOUW7,
20304539,Transaction Number,factory,,opc,DIRE,200,28000,,"4-9-2023,6:13:2",UNAWWKNPMV,
2030453,Transaction Number,supplier,ADDIS ABABA,ppc,MUGHER,101,18180,,17:34:27,OQF6UHNNOZ,12/9/2023
3030453,Transaction Number2,,,,,,,,,,
9030453,Transaction Number,supplier,ADDIS ABABA,ppc,MUGHER,110,19800,,"9-9-2023,16:41:21",CDW5DWAKTU,
3030453,Transaction Number,supplier,ADDIS ABABA,ppc,MUGHER,101,18180,,"9-9-2023,17:17:34",ASJUKBNFHE,
3030453,Transaction Number,factory,,opc,MUGHER,222,22200,,"11-9-2023,14:10:55",Y4FKIYFUJQ,
3030453,Transaction Number,factory,,ppc,MUGHER,122,122000,,"11-9-2023,15:19:2",LCZSEMZTFK,
3030453,Transaction Number,factory,,ppc,MUGHER,111,111000,,"11-9-2023,15:19:23",TL2AFKCRSS,
3030453,Transaction Number,factory,,ppc,MUGHER,111,111000,,"11-9-2023,15:21:33",MSHXPVEA1X,
3030453,Transaction Number,factory,,ppc,MUGHER,111,111000,,"11-9-2023,15:24:26",WOU2NDWBGY,
3030453,Transaction Number,factory,,ppc,MUGHER,111,111000,,"11-9-2023,15:26:15",9L3JDVBCIE,
3030453,Transaction Number,factory,,ppc,MUGHER,111,111000,,"11-9-2023,15:27:53",2AK60ZSKWY,
3030453,Transaction Number,supplier,ADDIS ABABA,ppc,DIRE,222,26418,,"11-9-2023,15:32:34",QCYZY64FEL,
3030453,Transaction Number,supplier,BAHIRDAR,opc,DIRE,222,177600,,"11-9-2023,15:33:19",6VJ34ILGMT,
3030453,Transaction Number,factory,,ppc,MUGHER,111,111000,,"11-9-2023,15:34:50",3KDIJVUYTM,
3030453,Transaction Number,factory,,ppc,MUGHER,111,111000,,"11-9-2023,15:36:16",A7SCGR2SXR,
3030453,Transaction Number,factory,,ppc,MUGHER,111,111000,,"11-9-2023,15:36:49",C3IJDNEWKL,
3030453,Transaction Number,factory,,ppc,MUGHER,111,111000,,"11-9-2023,15:38:9",CTMELVU3S0,
3030453,Transaction Number,factory,,ppc,MUGHER,111,111000,,"11-9-2023,15:39:4",MMQFFRQV4A,
3030453,Transaction Number,factory,,ppc,MUGHER,111,111000,,"11-9-2023,16:1:13",H3HGORFIHV,
3030453,Transaction Number,factory,,ppc,MUGHER,111,111000,,"11-9-2023,16:1:36",DAK2UHKYDS,
3030453,Transaction Number,supplier,BISHOFTU,opc,MUGHER,122,12200,,"11-9-2023,16:2:18",FHLXGXJNRK,
3030453,Transaction Number,factory,,ppc,MUGHER,111,111000,,"11-9-2023,16:10:41",9PVKVQRHME,
3030453,Transaction Number,factory,,ppc,MUGHER,111,111000,,"11-9-2023,16:12:30",THCS5UMQPX,
3030453,Transaction Number,factory,,opc,DANGOTE,122,14640,,"11-9-2023,16:14:44",LREM5MJJ7N,
3030453,Transaction Number,supplier,ADDIS ABABA,opc,DANGOTE,122,12200,,"11-9-2023,16:15:9",XVVPEZMYK6,
3030453,Transaction Number,supplier,BISHOFTU,opc,MUGHER,111,11100,,"11-9-2023,16:17:5",S6ULLNEENP,
3030453,Transaction Number,factory,,opc,DANGOTE,111,13320,,"11-9-2023,16:17:47",RKYWL6NQQW,
3030453,Transaction Number,factory,,ppc,MUGHER,122,122000,,"11-9-2023,16:18:28",H4SVNIQD4N,
3030453,Transaction Number,supplier,ADAMA,opc,DANGOTE,122,14640,,"11-9-2023,20:4:38",3LEY41HCMC,
3030453,Transaction Number,factory,,opc,MUGHER,122,12200,,21:25:06,RY1O94BXV5,
3030453,Transaction Number,supplier,BISHOFTU,opc,DANGOTE,122,15860,,21:25:47,HNT6OBD209,
